paper_id,field,gold,pred,error_category
PV-GCLSTM,horizon_unit,hours,steps,temporal_setup_extraction
PV-GCLSTM,node_unit,stations,nodes,graph_node_semantics
MC-STGCN,venue_type,journal,preprint,bibliographic_metadata
MC-STGCN,target_class,traffic_speed_and_flow,traffic_speed,task_target_schema_boundary
MC-STGCN,has_public_code,not_reported,no,access_evidence
MC-STGCN,node_unit,mixed,road_segments,graph_node_semantics
STJGCN,has_public_code,not_reported,no,access_evidence
STG-NCDE,year,2022,2021,bibliographic_metadata
STG-NCDE,venue_type,conference,preprint,bibliographic_metadata
HiSTGNN,domain_class,multivariate_timeseries,air_quality,task_target_schema_boundary
HiSTGNN,task_class,multivariate_timeseries_forecasting,air_quality_forecasting,task_target_schema_boundary
HiSTGNN,has_public_dataset,yes,no,access_evidence
HiSTGNN,horizon_type,dataset_specific,sequence,temporal_setup_extraction
HiSTGNN,horizon_min_value,24,33,temporal_setup_extraction
Adaptive GCN Framework,dataset_family,electricity,metr_la|pems_bay|electricity,dataset_family_recall_normalization
Adaptive GCN Framework,frequency_value,dataset_specific,1,temporal_setup_extraction
Adaptive GCN Framework,frequency_unit,mixed,hours,temporal_setup_extraction
Adaptive GCN Framework,graph_node_count_min,7,not_reported,graph_node_semantics
Adaptive GCN Framework,graph_node_count_max,321,not_reported,graph_node_semantics
Adaptive GCN Framework,node_unit,nodes,not_reported,graph_node_semantics
Adaptive GCN Framework,graph_node_count_status,partial,not_reported,graph_node_semantics
CorrSTN,frequency_value,dataset_specific,5,temporal_setup_extraction
CorrSTN,frequency_unit,mixed,minutes,temporal_setup_extraction
CorrSTN,node_unit,mixed,sensors,graph_node_semantics
D2STGNN,target_class,traffic_speed_and_flow,traffic_flow,task_target_schema_boundary
D2STGNN,horizon_type,sequence,multi_horizon,temporal_setup_extraction
D2STGNN,horizon_min_value,12,3,temporal_setup_extraction
STEP,target_class,traffic_speed_and_flow,traffic_flow,task_target_schema_boundary
STEP,dataset_family,metr_la|pems_bay|pemsd4,metr_la|pems_bay,dataset_family_recall_normalization
LightTS,has_public_code,not_reported,yes,access_evidence
LightTS,frequency_value,dataset_specific,1,temporal_setup_extraction
LightTS,frequency_unit,mixed,hours,temporal_setup_extraction
LightTS,graph_node_count_status,partial,found,graph_node_semantics
STID,domain_class,multivariate_timeseries,traffic,task_target_schema_boundary
STID,task_class,multivariate_timeseries_forecasting,benchmark_evaluation,task_target_schema_boundary
STID,target_class,multiple_targets,traffic_flow,task_target_schema_boundary
STID,dataset_family,pemsd4|pemsd7|pemsd8|pems_bay|electricity,pems_bay|electricity,dataset_family_recall_normalization
STID,horizon_type,sequence,single_horizon,temporal_setup_extraction
STID,frequency_value,dataset_specific,5,temporal_setup_extraction
STID,frequency_unit,mixed,minutes,temporal_setup_extraction
STID,graph_node_count_max,883,325,graph_node_semantics
Wind-GNN-Transformers,domain_class,multivariate_timeseries,general_network_timeseries,task_target_schema_boundary
Wind-GNN-Transformers,target_class,multiple_targets,pv_power,task_target_schema_boundary
Wind-GNN-Transformers,has_public_dataset,no,not_reported,access_evidence
MegaCRN,node_unit,sensors,mixed,graph_node_semantics
ST-SSL,year,2024,2023,bibliographic_metadata
ST-SSL,frequency_value,dataset_specific,30,temporal_setup_extraction
ST-SSL,frequency_unit,mixed,minutes,temporal_setup_extraction
ST-SSL,graph_node_count_min,128,160,graph_node_semantics
PDFormer,year,2024,2023,bibliographic_metadata
PDFormer,venue_type,conference,preprint,bibliographic_metadata
PDFormer,horizon_type,dataset_specific,multi_horizon,temporal_setup_extraction
PDFormer,frequency_value,dataset_specific,5,temporal_setup_extraction
PDFormer,frequency_unit,mixed,minutes,temporal_setup_extraction
PDFormer,graph_node_count_min,75,170,graph_node_semantics
PDFormer,graph_node_count_max,1024,17856,graph_node_semantics
SimST,horizon_type,sequence,single_horizon,temporal_setup_extraction
KDD Wind Power,year,2022,2023,bibliographic_metadata
KDD Wind Power,venue_type,competition_workshop,preprint,bibliographic_metadata
KDD Wind Power,domain_class,multivariate_timeseries,energy_pv,task_target_schema_boundary
KDD Wind Power,task_class,multivariate_timeseries_forecasting,pv_power_forecasting,task_target_schema_boundary
KDD Wind Power,target_class,multiple_targets,pv_power,task_target_schema_boundary
KDD Wind Power,horizon_type,dataset_specific,sequence,temporal_setup_extraction
ASTGCRN,target_class,traffic_flow,traffic_speed,task_target_schema_boundary
ASTGCRN,horizon_type,dataset_specific,sequence,temporal_setup_extraction
ASTGCRN,frequency_value,dataset_specific,5,temporal_setup_extraction
ASTGCRN,frequency_unit,mixed,minutes,temporal_setup_extraction
ASTGCRN,node_unit,sensors,nodes,graph_node_semantics
STG-NRDE,year,2023,2018,bibliographic_metadata
STG-NRDE,venue_type,preprint,journal,bibliographic_metadata
All Connected,domain_class,multivariate_timeseries,energy_pv,task_target_schema_boundary
All Connected,task_class,multivariate_timeseries_forecasting,pv_power_forecasting,task_target_schema_boundary
All Connected,target_class,multiple_targets,pv_power,task_target_schema_boundary
All Connected,has_public_code,not_reported,no,access_evidence
ST-GCRN Air Quality,year,2025,2023,bibliographic_metadata
ST-GCRN Air Quality,dataset_family,not_reported,yangtze_air_quality,dataset_family_recall_normalization
ST-GCRN Air Quality,graph_node_count_min,1024,25,graph_node_semantics
ST-GCRN Air Quality,graph_node_count_max,1024,37,graph_node_semantics
ST-GCRN Air Quality,graph_node_count_status,partial,found,graph_node_semantics
GRAM-ODE,target_class,multiple_targets,traffic_flow,task_target_schema_boundary
GRAM-ODE,dataset_family,metr_la|pems_bay|pemsd3|pemsd4|pemsd7|pemsd8,metr_la|pems_bay,dataset_family_recall_normalization
GRAM-ODE,horizon_type,sequence,single_horizon,temporal_setup_extraction
LargeST,venue_type,conference,preprint,bibliographic_metadata
LargeST,dataset_family,largest|california_pems,california_highway_pems,dataset_family_recall_normalization
LargeST,frequency_value,5,15,temporal_setup_extraction
STAEformer,target_class,traffic_flow,traffic_speed,task_target_schema_boundary
MSGNN,dataset_family,us_county_state_covid19,nyt_covid,dataset_family_recall_normalization
MSGNN,has_public_code,not_reported,no,access_evidence
MSGNN,frequency_value,1,7,temporal_setup_extraction
MSGNN,graph_node_count_min,not_reported,3000,graph_node_semantics
MSGNN,graph_node_count_max,not_reported,3000,graph_node_semantics
MSGNN,graph_node_count_status,partial,found,graph_node_semantics
ASeer,target_class,traffic_flow,traffic_speed_and_flow,task_target_schema_boundary
ASeer,dataset_family,zhuzhou|baoding,not_reported,dataset_family_recall_normalization
ASeer,has_public_dataset,no,yes,access_evidence
ASeer,horizon_type,single_horizon,sequence,temporal_setup_extraction
ASeer,horizon_min_value,60,3600,temporal_setup_extraction
ASeer,horizon_max_value,60,3600,temporal_setup_extraction
ASeer,horizon_unit,minutes,steps,temporal_setup_extraction
ASeer,frequency_value,dataset_specific,not_reported,temporal_setup_extraction
ASeer,frequency_unit,dataset_specific,not_reported,temporal_setup_extraction
DHSL,has_public_code,not_reported,no,access_evidence
DHSL,horizon_type,sequence,single_horizon,temporal_setup_extraction
STGNPP,dataset_family,beijing|chengdu,amap_beijing,dataset_family_recall_normalization
STGNPP,has_public_code,not_reported,no,access_evidence
STGNPP,horizon_type,dataset_specific,sequence,temporal_setup_extraction
AI-Truck,year,2024,2023,bibliographic_metadata
AI-Truck,target_class,multiple_targets,traffic_flow,task_target_schema_boundary
AI-Truck,dataset_family,chengdu_slag_truck,not_reported,dataset_family_recall_normalization
AI-Truck,has_public_code,not_reported,no,access_evidence
AI-Truck,horizon_min_value,30,1,temporal_setup_extraction
AI-Truck,horizon_max_value,60,1,temporal_setup_extraction
AI-Truck,horizon_unit,minutes,hours,temporal_setup_extraction
AI-Truck,frequency_unit,minutes,seconds,temporal_setup_extraction
AI-Truck,graph_node_count_min,255,not_reported,graph_node_semantics
AI-Truck,graph_node_count_max,255,not_reported,graph_node_semantics
AI-Truck,node_unit,nodes,not_reported,graph_node_semantics
AI-Truck,graph_node_count_status,partial,not_reported,graph_node_semantics
COOL,year,2025,2024,bibliographic_metadata
COOL,has_public_code,not_reported,no,access_evidence
