paper_id,year,venue_type,domain_class,task_class,target_class,dataset_family,has_public_code,has_public_dataset,horizon_type,horizon_min_value,horizon_max_value,horizon_unit,frequency_value,frequency_unit,graph_node_count_min,graph_node_count_max,node_unit,graph_node_count_status,coding_status,confidence
USTGCN,2021,preprint,traffic,traffic_forecasting,traffic_speed_and_flow,pemsd7|pemsd4|pemsd8,yes,yes,multi_horizon,15,60,minutes,5,minutes,170,307,sensors,found,complete,high
DGCRN,2021,preprint,traffic,traffic_forecasting,traffic_speed,metr_la|pems_bay|ne_bj,yes,yes,multi_horizon,15,60,minutes,5,minutes,207,500,mixed,found,complete,high
CNFGNN,2021,conference,traffic,traffic_forecasting,traffic_speed,pems_bay|metr_la,not_reported,yes,sequence,12,12,steps,5,minutes,207,325,sensors,found,complete,high
PV-GCLSTM,2021,preprint,energy,energy_forecasting,pv_power,not_reported,not_reported,not_reported,multi_horizon,15,360,minutes,15,minutes,304,1000,stations,found,partial,medium
MC-STGCN,2021,preprint,traffic,traffic_forecasting,traffic_flow,pems_bay|metr_la|tysons,not_reported,yes,multi_horizon,15,60,minutes,5,minutes,131,325,mixed,found,partial,medium
STJGCN,2021,preprint,traffic,traffic_forecasting,traffic_speed_and_flow,pemsd3|pemsd4|pemsd7|pemsd8|seattle,not_reported,yes,sequence,12,12,steps,5,minutes,170,883,sensors,found,complete,high
STG-NCDE,2022,conference,traffic,traffic_forecasting,traffic_speed_and_flow,pemsd3|pemsd4|pemsd7|pemsd8|pemsd7_m|pemsd7_l,not_reported,yes,sequence,12,12,steps,5,minutes,170,1026,sensors,found,complete,high
HiSTGNN,2022,preprint,environmental,weather_forecasting,multiple_targets,not_reported,not_reported,yes,dataset_specific,24,33,steps,1,hours,6,13,stations,found,partial,medium
Deep Ensemble UQ,2021,preprint,traffic,traffic_forecasting,traffic_speed,metr_la,not_reported,yes,multi_horizon,15,60,minutes,5,minutes,207,207,sensors,found,complete,high
Adaptive GCN Framework,2022,preprint,multiple,time_series_forecasting,multiple_targets,ett|electricity|weather,not_reported,yes,multi_horizon,24,336,steps,dataset_specific,mixed,not_reported,not_reported,nodes,not_reported,partial,low
CorrSTN,2023,preprint,traffic,traffic_forecasting,traffic_flow,pems07|pems08|hzme_inflow|hzme_outflow,yes,yes,sequence,12,12,steps,5,minutes,170,883,mixed,found,complete,medium
D2STGNN,2022,conference,traffic,traffic_forecasting,traffic_speed_and_flow,metr_la|pems_bay|pems04|pems08,yes,yes,multi_horizon,15,60,minutes,5,minutes,170,325,sensors,found,complete,high
STEP,2022,conference,traffic,traffic_forecasting,traffic_speed_and_flow,metr_la|pems_bay|pems04,yes,yes,sequence,12,12,steps,5,minutes,207,325,sensors,found,complete,high
LightTS,2022,preprint,multiple,time_series_forecasting,multiple_targets,etth1|etth2|ettm1|weather|solar_energy|traffic|electricity|exchange_rate,yes,yes,dataset_specific,not_reported,not_reported,mixed,dataset_specific,mixed,7,862,nodes,found,partial,medium
STID,2022,conference,multiple,time_series_forecasting,multiple_targets,pems04|pems07|pems08|pems_bay|electricity,yes,yes,sequence,12,12,steps,dataset_specific,mixed,170,883,mixed,found,complete,medium
Wind-GNN-Transformers,2023,preprint,energy,energy_forecasting,wind_speed,not_reported,yes,not_reported,multi_horizon,10,240,minutes,10,minutes,14,14,stations,found,complete,medium
MegaCRN,2023,conference,traffic,traffic_forecasting,traffic_speed,metr_la|pems_bay|expy_tky,yes,yes,multi_horizon,15,60,minutes,dataset_specific,minutes,207,1843,mixed,found,complete,high
ST-SSL,2023,conference,traffic,traffic_forecasting,traffic_flow,nycbike1|nycbike2|nyctaxi|bjtaxi,yes,yes,single_horizon,1,1,steps,dataset_specific,mixed,not_reported,not_reported,regions,not_reported,partial,medium
PDFormer,2023,conference,traffic,traffic_forecasting,traffic_flow,pems04|pems07|pems08|nyctaxi|chibike|t_drive,yes,yes,sequence,12,12,steps,dataset_specific,minutes,75,883,mixed,found,complete,medium
SimST,2023,preprint,traffic,traffic_forecasting,traffic_speed_and_flow,pemsd4|pemsd7|pemsd8|metr_la|pems_bay,not_reported,yes,sequence,12,12,steps,5,minutes,170,883,sensors,found,complete,high
KDD Wind Power,2022,competition_workshop,energy,energy_forecasting,wind_power,sdwpf,yes,yes,not_reported,not_reported,not_reported,not_reported,10,minutes,134,134,nodes,found,partial,medium
ASTGCRN,2023,preprint,traffic,traffic_forecasting,traffic_speed_and_flow,pemsd3|pemsd4|pemsd7|pemsd8|pemsd7_m|dnd_us,not_reported,yes,sequence,12,12,steps,5,minutes,53,883,mixed,found,complete,medium
STG-NRDE,2022,preprint,traffic,traffic_forecasting,traffic_speed_and_flow,pemsd3|pemsd4|pemsd7|pemsd8|pemsd7_m|pemsd7_l,yes,yes,sequence,12,12,steps,5,minutes,170,1026,sensors,found,complete,high
All Connected,2023,preprint,energy,energy_forecasting,wind_speed,not_reported,not_reported,yes,sequence,6,6,steps,10,minutes,14,14,stations,found,complete,medium
ST-GCRN Air Quality,2021,preprint,environmental,air_quality_forecasting,air_quality,seoul|jing_jin_ji,not_reported,not_reported,multi_horizon,12,72,hours,1,hours,25,25,stations,found,partial,medium
GRAM-ODE,2023,journal,traffic,traffic_forecasting,traffic_speed_and_flow,pems03|pems04|pems07|pems08|pems_bay|metr_la,yes,yes,sequence,12,12,steps,5,minutes,170,883,sensors,found,complete,high
LargeST,2023,conference,traffic,benchmark_evaluation,traffic_flow,largest,yes,yes,sequence,12,12,steps,15,minutes,716,8600,sensors,found,complete,high
STG4Traffic,2024,preprint,traffic,benchmark_evaluation,traffic_speed_and_flow,metr_la|pems_bay|pemsd4|pemsd8,yes,yes,multi_horizon,15,60,minutes,5,minutes,170,325,sensors,found,complete,high
STAEformer,2023,conference,traffic,traffic_forecasting,traffic_speed_and_flow,metr_la|pems_bay|pems03|pems04|pems07|pems08,yes,yes,multi_horizon,15,60,minutes,5,minutes,170,883,sensors,found,complete,high
MSGNN,2023,journal,epidemiology,epidemic_forecasting,multiple_targets,jhu_csse,not_reported,yes,multi_horizon,1,4,weeks,1,days,100,500,counties,found,partial,medium
ASeer,2024,conference,traffic,traffic_forecasting,traffic_flow,not_reported,yes,not_reported,dataset_specific,not_reported,not_reported,steps,not_reported,not_reported,not_reported,not_reported,sensors,not_reported,partial,low
DHSL,2023,preprint,traffic,traffic_forecasting,traffic_flow,pems03|pems04|pems08,not_reported,yes,sequence,12,12,steps,5,minutes,170,358,sensors,found,complete,high
STExplainer,2023,conference,multiple,time_series_forecasting,multiple_targets,pemsd4|pemsd7|pemsd8|nyc_crime|chi_crime,yes,yes,sequence,12,12,steps,dataset_specific,mixed,170,883,mixed,found,complete,medium
STGNPP,2023,preprint,traffic,event_prediction,multiple_targets,beijing|chengdu,not_reported,no,dataset_specific,not_reported,not_reported,not_reported,5,minutes,435,573,links,found,partial,medium
AI-Truck,2023,preprint,traffic,classification,multiple_targets,not_reported,not_reported,not_reported,dataset_specific,not_reported,not_reported,not_reported,30,minutes,not_reported,not_reported,regions,not_reported,partial,low
COOL,2024,preprint,traffic,traffic_forecasting,traffic_speed_and_flow,pems_bay|pems08|metr_la,not_reported,yes,sequence,12,12,steps,5,minutes,170,325,sensors,found,complete,high
